,Time Points,Mean,Median,Lower bound CI,Upper bound CI,Central Probability,True Rt
0,1,6.500896416589172,1278.333719686185,6.125466928322772,6.889311509785789,0.95,9.062745
1,2,6.227516411586641,18.073338931892255,5.970481542318366,6.490851477358445,0.95,7.261062
2,3,6.474294577640784,7.048304936360519,6.259327197787605,6.693410409950978,0.95,9.465714
3,4,7.016416060791967,3.8668648506580148,6.82728991957091,7.208397562358908,0.95,9.130919
4,5,6.833438323103155,5.5811139059340995,6.679664706862138,6.989125738138306,0.95,7.709974
5,6,6.59806954624016,6.357991541086692,6.475820815200906,6.721553297141533,0.95,7.097273
6,7,6.126270567497798,7.971959394077969,6.032219840574599,6.22109938296849,0.95,7.0814953
7,8,5.575333192564079,7.165321669608998,5.503278698876174,5.647878589470735,0.95,6.0934086
8,9,4.940027902616924,7.207461981145542,4.885229600462673,4.9951411955068,0.95,5.3590837
9,10,4.2586841070159345,6.8712313441703925,4.217222295390083,4.30035218039935,0.95,4.720417
10,11,3.6140167036834576,6.347760891305835,3.5825211647431763,3.64565077012897,0.95,3.978282
11,12,2.9976653057641895,5.66702170560439,2.9736269708835623,3.021799978560333,0.95,3.279309
12,13,2.4370838015139893,4.872153347888012,2.418562071598687,2.455675456669893,0.95,2.645503
13,14,1.947946023512503,4.22436853145219,1.9334908535568136,1.962454388368543,0.95,2.2118685
14,15,1.5508954224545948,3.5308651923150385,1.539359004136171,1.5624744410404092,0.95,1.8220334
15,16,1.2459664197266374,2.8495288718622187,1.2364620927269927,1.2555067954715098,0.95,1.5036738
16,17,1.030190553988222,2.2471137325818895,1.0220221642396476,1.0383911793098641,0.95,1.1863661
17,18,0.8909199521616573,1.7543646251766205,0.8835510857680592,0.8983191406874909,0.95,1.1192524
18,19,0.8062119774364812,1.3569558083252524,0.7992632911348608,0.8131904268607364,0.95,1.035814
19,20,0.7679738662370167,1.087952608505157,0.7611403890065284,0.774837527191178,0.95,1.0501598
20,21,0.7587921500993025,0.9152182058879135,0.7518727385150398,0.7657428626477439,0.95,1.0642831
21,22,0.7731989492767162,0.7938189051847916,0.7660390630664075,0.7803917221446033,0.95,1.1391265
22,23,0.7974032832729828,0.740604536900617,0.789932045219296,0.8049092569449527,0.95,1.2670178
23,24,0.8283701600413159,0.7201011369844939,0.820551021589048,0.8362259564292643,0.95,1.3330775
24,25,0.8457671127575042,0.7240042788543071,0.8376753560778395,0.8538973666462388,0.95,1.3896606
25,26,0.8394436529479323,0.7510810769031125,0.8312154527733259,0.8477120053411439,0.95,1.3355509
26,27,0.8170771858543132,0.8362891186047852,0.8088151996372224,0.8253807792068167,0.95,1.234375
27,28,0.7853934557717507,0.8907805130615775,0.7771600755686984,0.7936698282368111,0.95,1.0994679
28,29,0.7618797433774738,0.8871720348192603,0.7536224271140592,0.7701816133822882,0.95,1.0837651
29,30,0.7401587884955585,0.8517056239511559,0.7318418167972567,0.7485222553236142,0.95,1.0580689
30,31,0.7390733751415758,0.8080954304453802,0.7305474556670841,0.7476481887046329,0.95,1.082431
31,32,0.7443266059350391,0.7729161018381715,0.7355239481221723,0.7531809799450534,0.95,1.0516741
32,33,0.7712906114823912,0.7260790968434492,0.7620607140759145,0.7805753783577962,0.95,1.0667887
33,34,0.8081329731217103,0.7209422997832639,0.7984045184648646,0.8179196332848213,0.95,1.1522628
34,35,0.8518259661220894,0.6879028521054096,0.841563200877616,0.8621502575346501,0.95,1.3110874
35,36,0.8794323419400665,0.70510712007075,0.868758297909192,0.890170979544892,0.95,1.3624513
36,37,0.8894530898185318,0.7582042829741681,0.878523772352529,0.9004495816886899,0.95,1.3961661
37,38,0.8691422520918572,0.8375861561362724,0.8582005079606595,0.8801532195817617,0.95,1.3014777
38,39,0.822858313452915,0.8929192315706828,0.8121112435242693,0.8336763655340206,0.95,1.2668716
39,40,0.7572881102406174,0.9503391941068381,0.7468798069167848,0.767769321836678,0.95,1.0555087
40,41,0.6822017311807472,0.9522441238083521,0.6721881145595875,0.6922909128718939,0.95,1.0669379
41,42,0.602390000809047,0.9093043969645836,0.5927705598164034,0.6120889955163757,0.95,0.9295239
