,Time Points,Mean,Median,Lower bound CI,Upper bound CI,Central Probability,True Rt
42,43,0.5258446966386032,0.8462207432406165,0.5165392893538265,0.5352355538215113,0.95,0.8430361
43,44,0.46338787234760925,0.7756245241344207,0.45421088256009023,0.4726587134753587,0.95,0.6916026
44,45,0.4244137841747454,0.6817452958209639,0.41504917641936145,0.43388381502338,0.95,0.6364897
45,46,0.4154774999637726,0.5760204285713204,0.4055051359991105,0.42557070904823213,0.95,0.6428133
46,47,0.44567445286548935,0.47937285078395303,0.4344945760637272,0.4569949532080959,0.95,0.6644144
47,48,0.5054576298584214,0.3936016643997526,0.4925617144030911,0.5185183657331965,0.95,0.66
48,49,0.6069808089932978,0.34691402239109875,0.5916948452717966,0.622459495073575,0.95,0.97265625
49,50,0.7217036263533969,0.33317909634575954,0.7037961568736275,0.7398335664148233,0.95,1.2599791
50,51,0.847522934269185,0.35092873046908984,0.8269030761887469,0.8683938801570836,0.95,1.52162
51,52,0.962981001265214,0.46489597666978966,0.9399842389678537,0.9862526414459182,0.95,1.5166667
52,53,1.0568424974164523,0.5756417145731101,1.032069900928526,1.0819059240525644,0.95,1.7065275
53,54,1.1261135864708278,0.7412251082101782,1.100237785968679,1.1522875748965071,0.95,1.5215303
54,55,1.186752954427278,0.9073454655120512,1.1602165806070914,1.2135874830220417,0.95,1.4160275
55,56,1.2469285656114275,1.0211990507758761,1.219986102922844,1.2741641685253795,0.95,1.5025133
56,57,1.3314973111064616,1.0846741622754266,1.3040425825798216,1.3592372027254978,0.95,1.7396114
57,58,1.4177547426368287,1.104332382630627,1.3899266939768051,1.4458578667780984,0.95,1.7746831
58,59,1.5010615024205394,1.122568183356293,1.4730463056967606,1.5293394097464197,0.95,1.9497716
59,60,1.5634739573532823,1.2253980499309727,1.5357060796885298,1.591489400913938,0.95,2.0834079
60,61,1.5815181857756326,1.331567436291876,1.5545835429550534,1.6086826832873484,0.95,2.0306206
61,62,1.6056778615958835,1.4977748914982232,1.5796614120712291,1.631905001181593,0.95,2.1978908
62,63,1.5552970514432827,1.5430998197275012,1.5308508682611897,1.5799348698211382,0.95,2.2486162
63,64,1.4692393641817592,1.5542713098437504,1.446604581828794,1.492047962086222,0.95,1.9902664
64,65,1.313718500575185,1.7345668278498922,1.293346155507938,1.3342486179299595,0.95,1.8365963
65,66,1.1512536425441433,1.732262436877253,1.133037208799618,1.169614502287674,0.95,1.510243
66,67,0.9825902098284961,1.7027794885152003,0.9663602819702258,0.9989549252138168,0.95,1.2494581
67,68,0.8507351802028742,1.507124723121713,0.8359586997758872,0.86564107703153,0.95,1.1242247
68,69,0.7449134786961006,1.312054551207913,0.7311503010618505,0.7588050131597825,0.95,0.95751476
69,70,0.6787378850156339,1.0803560812635016,0.6654569097545825,0.6921501771845053,0.95,0.9382838
70,71,0.6419517495987999,0.9235640796064534,0.6287323573568885,0.6553091007573285,0.95,0.9289633
71,72,0.6224613697714517,0.7587964886082633,0.6090197102749293,0.6360508907654087,0.95,0.9071429
72,73,0.5964870539867395,0.6660748117997083,0.5828136093713073,0.6103210571798449,0.95,0.91468775
73,74,0.5719250256684877,0.6565817514265815,0.5579710619517859,0.586054690988192,0.95,1.0117574
74,75,0.5392013847189828,0.6575438481113582,0.5250530706290982,0.5535428240024932,0.95,0.9015327
75,76,0.4974953168300063,0.6173336262869911,0.48326669762718916,0.5119372501944769,0.95,0.93343616
76,77,0.45410183523489767,0.619831443458415,0.43983976574929534,0.46860045243651977,0.95,0.79176754
77,78,0.40745068573882154,0.5936505918073851,0.3932007401804778,0.42196457957748906,0.95,0.7972259
78,79,0.3613706109240903,0.5432297612440358,0.3472030389016048,0.3758327697747262,0.95,0.67382497
79,80,0.32242424821935217,0.5095297599237512,0.30829693482781606,0.33687815073065436,0.95,0.6495917
80,81,0.2831973992530471,0.4505032369393794,0.2693373104660192,0.2974146117972651,0.95,0.5740084
81,82,0.25019124994825725,0.39242529599962317,0.2367731765291617,0.26398667767292266,0.95,0.58220416
82,83,0.2001099060415619,0.3478897172984352,0.18813034998396533,0.21246309788251455,0.95,0.6490782
83,84,0.14800595652534365,0.32235775506613484,0.13837375389655254,0.15796288812579679,0.95,0.4074074
84,85,0.08441977086057582,0.3199427882580739,0.07853134549261274,0.09051985107031293,0.95,0.47097626
85,86,0.030878700007748,0.25843299728677255,0.028623290409544956,0.03321884344343952,0.95,0.4016854
86,87,0.005995163225360631,0.2463857350422494,0.005524222440632915,0.006485092817261643,0.95,0.08588957
87,88,0.0,0.23102879485650826,0.0,0.0,0.95,0.0
