,S(0),E(0),I(0),R(0),Infection Rate (beta),Incubation Rate (kappa),Recovery Rate (gamma),sigma_S,sigma_E,sigma_I,sigma_R
0,0.5072014982962678,0.8572767581503492,0.60085535694881,0.34365997925468034,1.6320095585432344,2.7389817466238813,2.7854035905020496,0.865916198547135,0.8633124933641606,0.3921764679186781,0.8168685214437066
1,0.5072014982962678,0.8572767581503492,0.60085535694881,0.34365997925468034,1.6320095585432344,2.7389817466238813,2.7854035905020496,0.865916198547135,0.8633124933641606,0.3921764679186781,0.8168685214437066
2,0.5072014982962678,0.8572767581503492,0.60085535694881,0.34365997925468034,1.6320095585432344,2.7389817466238813,2.7854035905020496,0.865916198547135,0.8633124933641606,0.3921764679186781,0.8168685214437066
3,0.5072014982962678,0.8572767581503492,0.60085535694881,0.34365997925468034,1.6320095585432344,2.7389817466238813,2.7854035905020496,0.865916198547135,0.8633124933641606,0.3921764679186781,0.8168685214437066
4,0.5072014982962678,0.8572767581503492,0.60085535694881,0.34365997925468034,1.6320095585432344,2.7389817466238813,2.7854035905020496,0.865916198547135,0.8633124933641606,0.3921764679186781,0.8168685214437066
5,0.5120421886022253,0.8288176812969219,0.5819338378232306,0.2772143682632451,1.64113279551594,2.5902683173289196,2.9911129782121977,0.8795650954607837,0.8658387799027171,0.4182820203661678,0.795863965140064
6,0.5120421886022253,0.8288176812969219,0.5819338378232306,0.2772143682632451,1.64113279551594,2.5902683173289196,2.9911129782121977,0.8795650954607837,0.8658387799027171,0.4182820203661678,0.795863965140064
7,0.45886272222614916,0.8060431207850866,0.48879697608773476,0.30775834396627294,1.6464499782315343,2.5319714416231895,2.9314673245739478,0.8695558124924336,0.8616486178621159,0.41317515221790785,0.784902875413928
8,0.4707839241139716,0.8224478490110717,0.47186892084662957,0.2933573175431076,1.474282508200106,2.5739118022745884,2.9639036217887402,0.8457791864011905,0.8794605080336808,0.3851287903243721,0.832899747288788
9,0.45091398353860107,0.7981305314095725,0.46615467838262037,0.2854407769630008,1.4005899517058147,2.3071212219897985,3.1803901925735354,0.8138001245653509,0.866597472482486,0.3799605022658048,0.8284421151913102
10,0.48371565429029867,0.8021097790277069,0.45001320040595433,0.3100580901644459,1.4549144978798432,2.071961956403126,2.9976853813672744,0.7632027901873262,0.8725312240333949,0.36348022515974643,0.8672129938220382
11,0.48371565429029867,0.8021097790277069,0.45001320040595433,0.3100580901644459,1.4549144978798432,2.071961956403126,2.9976853813672744,0.7632027901873262,0.8725312240333949,0.36348022515974643,0.8672129938220382
12,0.48371565429029867,0.8021097790277069,0.45001320040595433,0.3100580901644459,1.4549144978798432,2.071961956403126,2.9976853813672744,0.7632027901873262,0.8725312240333949,0.36348022515974643,0.8672129938220382
13,0.48371565429029867,0.8021097790277069,0.45001320040595433,0.3100580901644459,1.4549144978798432,2.071961956403126,2.9976853813672744,0.7632027901873262,0.8725312240333949,0.36348022515974643,0.8672129938220382
14,0.48371565429029867,0.8021097790277069,0.45001320040595433,0.3100580901644459,1.4549144978798432,2.071961956403126,2.9976853813672744,0.7632027901873262,0.8725312240333949,0.36348022515974643,0.8672129938220382
15,0.48371565429029867,0.8021097790277069,0.45001320040595433,0.3100580901644459,1.4549144978798432,2.071961956403126,2.9976853813672744,0.7632027901873262,0.8725312240333949,0.36348022515974643,0.8672129938220382
16,0.472108170119473,0.7615842823181506,0.44035735558984485,0.2954398369083601,1.4749502624595743,2.1699214657310275,3.0227162050266565,0.818463056981547,0.9193422855649578,0.3343520434387642,0.8772892244006409
17,0.4732209827965089,0.7203071988939183,0.3783468668370916,0.287304749155211,1.4267406772502476,1.743410683576381,3.389338371852206,0.8171561244009161,0.8969958836285303,0.2631171969837777,0.9230528624593448
18,0.5278414033541167,0.7021115457892971,0.3589013621512549,0.20963173088489806,1.4551754555030616,1.8034158737236095,3.0905408502482326,0.7887636955652929,0.9044947211377851,0.2899793764216384,0.9964745969273308
19,0.5306389129590662,0.6959401437966726,0.34100251342274224,0.19388380881439596,1.417068782419358,1.6067496851746539,3.430416150859107,0.7262825621577065,0.9363988975725899,0.25295687945657314,1.0543043661851925
20,0.49588219732213534,0.669372101701416,0.30545478551140626,0.21955583491747827,1.4968090213696763,1.6897866581693797,4.05872089948857,0.7728354408986235,0.9784173101468602,0.2374098248769729,0.9996358871326151
21,0.49588219732213534,0.669372101701416,0.30545478551140626,0.21955583491747827,1.4968090213696763,1.6897866581693797,4.05872089948857,0.7728354408986235,0.9784173101468602,0.2374098248769729,0.9996358871326151
22,0.49588219732213534,0.669372101701416,0.30545478551140626,0.21955583491747827,1.4968090213696763,1.6897866581693797,4.05872089948857,0.7728354408986235,0.9784173101468602,0.2374098248769729,0.9996358871326151
23,0.46451099293216164,0.6758285090842786,0.2996349727067498,0.22855230041278146,1.5626539524411338,1.4797897962871454,4.021525741931777,0.794804842231813,0.9822637664981494,0.1899548389487883,1.0473339110357953
24,0.4688496719483754,0.6958032873660632,0.29357225706429635,0.219950320210622,1.5532580678261336,1.3768456898167718,3.9185092600805342,0.7685368829169905,0.9933914555227173,0.1915260185810776,0.9982571509867486
